rid,unikey,ckey,subkey,pkey,figs,type,nkey,taxon,abbrev_taxon,fullname,subgen,genus,family,epithets,keystr,ctxt,fkey,sex,docn,kcnt,page
36,Aetideopsis_01b_retusa_fig,,,,"51,52",2,,Aetideopsis retusa,Aetideopsis retusa,"Aetideopsis retusa (Grice & Hülsemann, 1967)","",Aetideopsis,Aetideidae,retusa,"","<div id=""figs_Aetideopsis_retusa""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Aetideopsis retusa</em> (Grice & Hülsemann, 1967) (size: <a href=""#key_Aetideopsis_1b"">female</a>, 1.98-2.80 mm; <a href=""#key_Aetideopsis_1b"">male</a>, 2.25-2.70 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideopsis_retusa_01""><img src=""assets/img/sp_thumb/Aetideopsis_retusa_01.png"" border=""0"" /></a><span id=""fig_Aetideopsis_retusa_01"" class=""spcap"">Fig. 24</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideopsis_retusa_02""><img src=""assets/img/sp_thumb/Aetideopsis_retusa_02.png"" border=""0"" /></a><span id=""fig_Aetideopsis_retusa_02"" class=""spcap"">Fig. 25</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Aetideopsis retusa</em> (Grice & Hülsemann, 1967)</span></div><div class=""fig_cap""><span class=""spcap"">Markhaseva, 1996: fig. 24. <strong>Female</strong>. a/b. habitus (dorsal/lateral); c/d. pediger 5 & urosome (dorsal/lateral); e. forehead (lateral); f. rostrum (anterior); g/h. genital double-somite (lateral/ventral); i. leg 1; j. leg 1 endopod; k. leg 3; l. leg 4. Fig. 25. <strong>Male</strong>. a/b. habitus (dorsal/lateral); c. forehead (lateral); rostrum (anterior); e. pediger 5 & urosome (dorsal); f. antenna; g. mandible; h. maxilliped; i. leg 5 (posterior); j. left leg 5, exopod segment 3.</span></div></div><br><br><br><br>","Aetideopsis_retusa_01,Aetideopsis_retusa_02",,2,119,5
0,Aetideus_00a_genus,,,,,,,,,,,Aetideus,Aetideidae,"acutus, armatus, bradyi, divergens, giesbrechti, truncatus",,"<div id=""genus_Aetideus"" class=""kblk""><p class=""doc_title"">Key to the species of <em>Aetideus</em> occurring in the China seas</p></div><br><br><br><div id=""species_Aetideus"" class=""kblk""><p class=""doc_epithets""><em>Aetideus acutus</em>(<a href=""#key_Aetideus_4a"">4a</a>/<a href=""#key_Aetideus_10a"">10a</a>/f), <em>armatus</em>(<a href=""#key_Aetideus_6b"">6b</a>/<a href=""#key_Aetideus_8a"">8a</a>/f), <em>bradyi</em>(<a href=""#key_Aetideus_3a"">3a</a>/<a href=""#key_Aetideus_11b"">11b</a>/f), <em>divergens</em>(<a href=""#key_Aetideus_6a"">6a</a>/<a href=""#key_Aetideus_8b"">8b</a>/f), <em>giesbrechti</em>(<a href=""#key_Aetideus_4b"">4b</a>/<a href=""#key_Aetideus_11a"">11a</a>/f), <em>truncatus</em>(<a href=""#key_Aetideus_5a"">5a</a>/<a href=""#key_Aetideus_9a"">9a</a>/f)</p></div><br><br><br>",,,3,120,6
5,Aetideus_01a,1a,a,,,0,2,,,,,Aetideus,Aetideidae,,Female,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideus_1a"">1a</mark>&nbsp;Female</span>&nbsp;<span class=""keycol""><a href=""#key_Aetideus_2a"">2</a></span></p></div>",,,3,121,6
6,Aetideus_01b,1b,b,,,0,7,,,,,Aetideus,Aetideidae,,Male,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideus_1b"">1b</mark>&nbsp;Male</span>&nbsp;<span class=""keycol""><a href=""#key_Aetideus_7a"">7</a></span></p></div>",,,3,122,6
8,Aetideus_02a,2a,a,1b,,0,3,,,,,Aetideus,Aetideidae,,Posterolateral corners of prosome reaching at least posterior border of urosomite 2,"<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Aetideus_2a"">2a</mark>&nbsp;(<a href=""#key_Aetideus_1b"">1b</a>)&nbsp;Posterolateral corners of prosome reaching at least posterior border of urosomite 2</span>&nbsp;<span class=""keycol""><a href=""#key_Aetideus_3a"">3</a></span></p></div>",,,3,123,6
9,Aetideus_02b,2b,b,,,0,5,,,,,Aetideus,Aetideidae,,Posterolateral corners of prosome at most reaching midlength of urosomite 2,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideus_2b"">2b</mark>&nbsp;Posterolateral corners of prosome at most reaching midlength of urosomite 2</span>&nbsp;<span class=""keycol""><a href=""#key_Aetideus_5a"">5</a></span></p></div>",,,3,124,6
11,Aetideus_03a,3a,a,2a,"60,61,62,63",1,,Aetideus bradyi,Aetideus bradyi,"Aetideus bradyi (A. Scott, 1909)","",Aetideus,Aetideidae,bradyi,Base of rostrum without knobs,"<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Aetideus_3a"">3a</mark>&nbsp;(<a href=""#key_Aetideus_2a"">2a</a>)&nbsp;Base of rostrum without knobs</span><span class=""keycol""><mark id=""taxon_Aetideus_bradyi""><em><a href=""#figs_Aetideus_bradyi"">Aetideus bradyi</a></em></mark></span></p></div>","Aetideus_bradyi_01,Aetideus_bradyi_02,Aetideus_bradyi_03,Aetideus_bradyi_04",female,3,125,6
12,Aetideus_03b,3b,b,,,0,4,,,,,Aetideus,Aetideidae,,Base of rostrum with 2 knobs,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideus_3b"">3b</mark>&nbsp;Base of rostrum with 2 knobs</span>&nbsp;<span class=""keycol""><a href=""#key_Aetideus_4a"">4</a></span></p></div>",,,3,126,6
14,Aetideus_04a,4a,a,3b,"53,54,55,56,57",1,,Aetideus acutus,Aetideus acutus,"Aetideus acutus (Faran, 1929)","",Aetideus,Aetideidae,acutus,"In dorsal view, rostral plate visible","<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Aetideus_4a"">4a</mark>&nbsp;(<a href=""#key_Aetideus_3b"">3b</a>)&nbsp;In dorsal view, rostral plate visible</span><span class=""keycol""><mark id=""taxon_Aetideus_acutus""><em><a href=""#figs_Aetideus_acutus"">Aetideus acutus</a></em></mark></span></p></div>","Aetideus_acutus_01,Aetideus_acutus_02,Aetideus_acutus_03,Aetideus_acutus_04,Aetideus_acutus_01",female,3,127,6
15,Aetideus_04b,4b,b,,"66,67,68,69,70,71",1,,Aetideus giesbrechti,Aetideus giesbrechti,"Aetideus giesbrechti (Cleve, 1909)","",Aetideus,Aetideidae,giesbrechti,"In dorsal view, rostral plate invisible","<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideus_4b"">4b</mark>&nbsp;In dorsal view, rostral plate invisible</span><span class=""keycol""><mark id=""taxon_Aetideus_giesbrechti_female""><em><a href=""#figs_Aetideus_giesbrechti"">Aetideus giesbrechti</a></em></mark></span></p></div>","Aetideus_giesbrechti_01,Aetideus_giesbrechti_02,Aetideus_giesbrechti_03,Aetideus_giesbrechti_04,Aetideus_giesbrechti_05,Aetideus_giesbrechti_01",female,3,128,6
17,Aetideus_05a,5a,a,2b,72,1,,Aetideus truncatus,Aetideus truncatus,"Aetideus truncatus (Bradford, 1971)","",Aetideus,Aetideidae,truncatus,Posterolateral corners of prosome reaching anterior to posterior border of genital double-somite,"<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Aetideus_5a"">5a</mark>&nbsp;(<a href=""#key_Aetideus_2b"">2b</a>)&nbsp;Posterolateral corners of prosome reaching anterior to posterior border of genital double-somite</span><span class=""keycol""><mark id=""taxon_Aetideus_truncatus_female""><em><a href=""#figs_Aetideus_truncatus"">Aetideus truncatus</a></em></mark></span></p></div>",Aetideus_truncatus_01,female,3,129,6
18,Aetideus_05b,5b,b,,,0,6,,,,,Aetideus,Aetideidae,,Posterolateral corners of prosome reaching at least as far as posterior border of genital double-somite,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideus_5b"">5b</mark>&nbsp;Posterolateral corners of prosome reaching at least as far as posterior border of genital double-somite</span>&nbsp;<span class=""keycol""><a href=""#key_Aetideus_6a"">6</a></span></p></div>",,,3,130,6
20,Aetideus_06a,6a,a,5b,"64,65",1,,Aetideus divergens,Aetideus divergens,"Aetideus divergens (Bradford, 1971)","",Aetideus,Aetideidae,divergens,Posterolateral corners of prosome diverge slightly,"<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Aetideus_6a"">6a</mark>&nbsp;(<a href=""#key_Aetideus_5b"">5b</a>)&nbsp;Posterolateral corners of prosome diverge slightly</span><span class=""keycol""><mark id=""taxon_Aetideus_divergens""><em><a href=""#figs_Aetideus_divergens"">Aetideus divergens</a></em></mark></span></p></div>","Aetideus_divergens_01,Aetideus_divergens_01",female,3,131,6
21,Aetideus_06b,6b,b,,"58,59",1,,Aetideus armatus,Aetideus armatus,"Aetideus armatus (Boeck, 1872)","",Aetideus,Aetideidae,armatus,Posterolateral corners of prosome extending straight backward,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideus_6b"">6b</mark>&nbsp;Posterolateral corners of prosome extending straight backward</span><span class=""keycol""><mark id=""taxon_Aetideus_armatus_female""><em><a href=""#figs_Aetideus_armatus"">Aetideus armatus</a></em></mark></span></p></div>","Aetideus_armatus_01,Aetideus_armatus_02",female,3,132,6
23,Aetideus_07a,7a,a,1b,,0,8,,,,,Aetideus,Aetideidae,,Genital somite lateral margins symmetrical,"<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Aetideus_7a"">7a</mark>&nbsp;(<a href=""#key_Aetideus_1b"">1b</a>)&nbsp;Genital somite lateral margins symmetrical</span>&nbsp;<span class=""keycol""><a href=""#key_Aetideus_8a"">8</a></span></p></div>",,,3,133,6
24,Aetideus_07b,7b,b,,,0,9,,,,,Aetideus,Aetideidae,,Genital somite lateral margins asymmetrical; left margin either simply protruded or with a cleft,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideus_7b"">7b</mark>&nbsp;Genital somite lateral margins asymmetrical; left margin either simply protruded or with a cleft</span>&nbsp;<span class=""keycol""><a href=""#key_Aetideus_9a"">9</a></span></p></div>",,,3,134,6
26,Aetideus_08a,8a,a,7a,58,1,,Aetideus armatus,Aetideus armatus,"Aetideus armatus (Boeck, 1872)","",Aetideus,Aetideidae,armatus,Posterolateral processes of prosome extending to distal margin of genital somite. Prosome length 2.7 times width,"<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Aetideus_8a"">8a</mark>&nbsp;(<a href=""#key_Aetideus_7a"">7a</a>)&nbsp;Posterolateral processes of prosome extending to distal margin of genital somite. Prosome length 2.7 times width</span><span class=""keycol""><mark id=""taxon_Aetideus_armatus""><em><a href=""#figs_Aetideus_armatus"">Aetideus armatus</a></em></mark></span></p></div>",Aetideus_armatus_01,male,3,135,6
29,Aetideus_08b,8b,b,,72,1,,Aetideus truncatus,Aetideus truncatus,"Aetideus truncatus (Bradford, 1971)","",Aetideus,Aetideidae,truncatus,Posterolateral processes of prosome extending to midlength of urosomite 2. Prosome length 2.3 times widthAeideus divergens9a/7bGenital somite: left margin protruded at midlength. Leg 5: segment 3 nearly 2 times as long as segment 2; segment 5 one-fifth length of segment 2,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideus_8b"">8b</mark>&nbsp;Posterolateral processes of prosome extending to midlength of urosomite 2. Prosome length 2.3 times widthAeideus divergens9a/7bGenital somite: left margin protruded at midlength. Leg 5: segment 3 nearly 2 times as long as segment 2; segment 5 one-fifth length of segment 2</span><span class=""keycol""><mark id=""taxon_Aetideus_truncatus_male""><em><a href=""#figs_Aetideus_truncatus"">Aetideus truncatus</a></em></mark></span></p></div>",Aetideus_truncatus_01,male,3,136,6
30,Aetideus_09b,9b,b,,,0,10,,,,,Aetideus,Aetideidae,,Genital somite: left margin with a cleft near distal end. Leg 5: segment 3 less than 1.8 times as long as segment 2,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideus_9b"">9b</mark>&nbsp;Genital somite: left margin with a cleft near distal end. Leg 5: segment 3 less than 1.8 times as long as segment 2</span>&nbsp;<span class=""keycol""><a href=""#key_Aetideus_10a"">10</a></span></p></div>",,,3,137,6
33,Aetideus_10a,10a,a,9b,"",1,,Aetideus acutus,Aetideus acutus,"Aetideus acutus (Faran, 1929)","",Aetideus,Aetideidae,acutus,Posterolateral processes of prosome extending to midlength of genital somite .Prosome length slightly more than 2 times width,"<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Aetideus_10a"">10a</mark>&nbsp;(<a href=""#key_Aetideus_9b"">9b</a>)&nbsp;Posterolateral processes of prosome extending to midlength of genital somite .Prosome length slightly more than 2 times width</span><span class=""keycol""><mark id=""taxon_Aetideus_acutus""><em><a href=""#figs_Aetideus_acutus"">Aetideus acutus</a></em></mark></span></p></div>","",male,3,138,6
34,Aetideus_10b,10b,b,9b,,0,11,,,,,Aetideus,Aetideidae,,Posterolateral processes of prosome extending to distal margin of genital somite. Prosome length 2.5 times or more width,"<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Aetideus_10b"">10b</mark>&nbsp;(<a href=""#key_Aetideus_9b"">9b</a>)&nbsp;Posterolateral processes of prosome extending to distal margin of genital somite. Prosome length 2.5 times or more width</span>&nbsp;<span class=""keycol""><a href=""#key_Aetideus_11a"">11</a></span></p></div>",,,3,139,6
36,Aetideus_11a,11a,a,10b,"",1,,Aetideus giesbrechti,Aetideus giesbrechti,"Aetideus giesbrechti (Cleve, 1909)","",Aetideus,Aetideidae,giesbrechti,Prosome length 4 times length of urosome. Prosome length 3 times width,"<div class=""kblk""><p class=""leader indent4""><span class=""keycol""><mark id=""key_Aetideus_11a"">11a</mark>&nbsp;(<a href=""#key_Aetideus_10b"">10b</a>)&nbsp;Prosome length 4 times length of urosome. Prosome length 3 times width</span><span class=""keycol""><mark id=""taxon_Aetideus_giesbrechti""><em><a href=""#figs_Aetideus_giesbrechti"">Aetideus giesbrechti</a></em></mark></span></p></div>","",male,3,140,6
37,Aetideus_11b,11b,b,,"",1,,Aetideus bradyi,Aetideus bradyi,"Aetideus bradyi (A. Scott, 1909)","",Aetideus,Aetideidae,bradyi,Prosome length 3 times length of urosome. Prosome length 2.5 times width,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideus_11b"">11b</mark>&nbsp;Prosome length 3 times length of urosome. Prosome length 2.5 times width</span><span class=""keycol""><mark id=""taxon_Aetideus_bradyi_male""><em><a href=""#figs_Aetideus_bradyi"">Aetideus bradyi</a></em></mark></span></p></div><br><br>","",male,3,141,6
53,Aetideus_04a_10a_acutus_fig,,,,"53,54,55,56",2,,Aetideus acutus,Aetideus acutus,"Aetideus acutus (Faran, 1929)","",Aetideus,Aetideidae,acutus,"","<div id=""figs_Aetideus_acutus""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Aetideus acutus</em> (Faran, 1929) (size: <a href=""#key_Aetideus_4a"">female</a>, 1.42-1.80 mm; <a href=""#key_Aetideus_10a"">male</a>, 1.22-1.98 mm)</span></div><span class=""nnar""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_acutus_01""><img src=""assets/img/sp_thumb/Aetideus_acutus_01.png"" border=""0"" /></a><span id=""fig_Aetideus_acutus_01"" class=""spcap"">20d</span></span> <span class=""nnar""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_acutus_02""><img src=""assets/img/sp_thumb/Aetideus_acutus_02.png"" border=""0"" /></a><span id=""fig_Aetideus_acutus_02"" class=""spcap"">28</span></span> <span class=""nnar""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_acutus_03""><img src=""assets/img/sp_thumb/Aetideus_acutus_03.png"" border=""0"" /></a><span id=""fig_Aetideus_acutus_03"" class=""spcap"">29</span></span> <span class=""nnar""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_acutus_04""><img src=""assets/img/sp_thumb/Aetideus_acutus_04.png"" border=""0"" /></a><span id=""fig_Aetideus_acutus_04"" class=""spcap"">30</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Aetideus acutus</em> (Faran, 1929)</span></div><div class=""fig_cap""><span class=""spcap"">Vervoort, 1957 As <em>Euaetideus acutus</em>. Fig.20 d. <em>Aetideus acutus</em> Faran, 1929 , <strong>Female</strong>: distal portion of rostral plate. Fig.28. <strong>Female</strong> (from Malay Archipelago): a-b, habitus (lateral/dorsal); c, forehead (lateral); d-e, posterior prosome and urosome (dorsal/lateral). Fig.29. <strong>Female</strong>: a, right leg 1 (anterior); b-d, legs 2 to 4 (left legs); e, left maxilla; f, left mandibular palp. Fig.30. <strong>Female</strong>: a, left antenna; b, left maxillule; c-d, right antennule; e, mandible cutting edge; f, right maxilliped.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 14 2021].</span></div><br><br><div class=""blkfigure""><span class=""nfig""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_acutus_01""><img src=""assets/img/sp_thumb/Aetideus_acutus_01.png"" border=""0"" /></a><span id=""fig_Aetideus_acutus_01"" class=""spcap"">Original</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Aetideus acutus</em> (Faran, 1929)</span></div><div class=""fig_cap""><span class=""spcap"">Original. <em>Aetideus acutus</em>, female, 1.64 mm., off Zhibeng (24&deg;18'N, 121&deg;46'E), habitus (dorsal/lateral); rostrum; leg 4 basis.</span></div></div><br><br>","Aetideus_acutus_01,Aetideus_acutus_02,Aetideus_acutus_03,Aetideus_acutus_04 Aetideus_acutus_01",,3,142,6
70,Aetideus_06b_08a_armatus_fig,,,,"58,59",2,,Aetideus armatus,Aetideus armatus,"Aetideus armatus (Boeck, 1872)","",Aetideus,Aetideidae,armatus,"","<div id=""figs_Aetideus_armatus""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Aetideus armatus</em> (Boeck, 1872) (size: <a href=""#key_Aetideus_6b"">female</a>, 1.33-2.25 mm; <a href=""#key_Aetideus_8a"">male</a>, 1.25-2.10 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_armatus_01""><img src=""assets/img/sp_thumb/Aetideus_armatus_01.png"" border=""0"" /></a><span id=""fig_Aetideus_armatus_01"" class=""spcap"">Bradford</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_armatus_02""><img src=""assets/img/sp_thumb/Aetideus_armatus_02.png"" border=""0"" /></a><span id=""fig_Aetideus_armatus_02"" class=""spcap"">Original</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Aetideus armatus</em> (Boeck, 1872)</span></div><div class=""fig_cap""><span class=""spcap"">Bradford, 1971. Fig.3. From SW Africa (21&deg;-35&deg;S). <em>Aetideus armatus</em> (Boeck, 1872) , <strong>Male</strong> : a, habitus (dorsal); b, leg 5; c, caudal ramus; d, exopod segment 3 of leg 3. Nota: Posterior thoracic points extend up to (but not past), the posterior border of urosomal segment 1. Width: length ratio of caudal rami is 1: 2.58-2.70. Terminal seta on legs 2-4 with 24, 22 and 18 teeth respectively. <strong>Female</strong>: e/f, habitus (dorsal/lateral); g, rostrum; h/i, genital double-somite and posterior thoracic points (lateral left /lateral right); j, rostrum. Nota: Posterior thoracic points just passed the posterior border of the genital double somite, seminal receptacles with a thick, short tube joining the dorsal and ventral sacs. Rostrum: width/depth about 0.86-1.3 (falling within the range of the 2 specimens from Norway). Anterior cephalothorax vaulted, heavily chitinized and when viewed laterally indented above the base of antennule (characteristic not noted in the Norwegian specimens).</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed April 14 2021].</span></div><br><div class=""fig_cap""><span class=""spcap"">Original. <em>Aetideus armatus</em>. <strong>Female</strong>, 1.34 mm, South China Sea, habitus (dorsal/lateral), rostrum; leg 4, coxa & basis</span></div></div><br><br>","Aetideus_armatus_01,Aetideus_armatus_02",,3,143,6
82,Aetideus_03a_11b_bradyi_fig,,,,"60,61,62,63",2,,Aetideus bradyi,Aetideus bradyi,"Aetideus bradyi (A. Scott, 1909)","",Aetideus,Aetideidae,bradyi,"","<div id=""figs_Aetideus_bradyi""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Aetideus bradyi</em> (A. Scott, 1909) (size: <a href=""#key_Aetideus_3a"">female</a>, 1.33-2.07 mm; <a href=""#key_Aetideus_11b"">male</a>, 1.00-1.50 mm)</span></div><span class=""nnar""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_bradyi_01""><img src=""assets/img/sp_thumb/Aetideus_bradyi_01.png"" border=""0"" /></a><span id=""fig_Aetideus_bradyi_01"" class=""spcap"">20b</span></span> <span class=""nnar""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_bradyi_02""><img src=""assets/img/sp_thumb/Aetideus_bradyi_02.png"" border=""0"" /></a><span id=""fig_Aetideus_bradyi_02"" class=""spcap"">21</span></span> <span class=""nnar""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_bradyi_03""><img src=""assets/img/sp_thumb/Aetideus_bradyi_03.png"" border=""0"" /></a><span id=""fig_Aetideus_bradyi_03"" class=""spcap"">22</span></span> <span class=""nnar""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_bradyi_04""><img src=""assets/img/sp_thumb/Aetideus_bradyi_04.png"" border=""0"" /></a><span id=""fig_Aetideus_bradyi_04"" class=""spcap"">23</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Aetideus bradyi</em> (A. Scott, 1909)</span></div><div class=""fig_cap""><span class=""spcap"">W. Vervoort, 1957 As <em>Euaetideus <em>bradyi</em>i</em>. Fig.20 b. <em>Aetideus bradyi</em> A. Scott, 1909, <strong>Female</strong>: distal portion of rostral plate. Fig.21. <strong>Female</strong>: a/c, habitus (lateral/dorsal); b, right antennule; d, forehead (lateral); e/f, posterior prosome and urosome (lateral/dorsal). Fig.22. <strong>Female</strong>: a, right leg 1 (anterior); b-d, legs 2 to 4 (left legs); e, right antenna; f, right mandibular palp. Fig.23. <strong>Female</strong>: a, right maxilla; b, left maxillule; c, left maxilliped; d, mancible (cutting edge).</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed April 14 2021].</span></div></div><br><br>","Aetideus_bradyi_01,Aetideus_bradyi_02,Aetideus_bradyi_03,Aetideus_bradyi_04",,3,144,6
92,Aetideus_06a_divergens_fig,,,,64,2,,Aetideus divergens,Aetideus divergens,"Aetideus divergens (Bradford, 1971)","",Aetideus,Aetideidae,divergens,"","<div id=""figs_Aetideus_divergens""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Aetideus divergens</em> (Bradford, 1971) (size: <a href=""#key_Aetideus_6a"">female</a>, 1.69-1.90 mm; <a href=""#key_Aetideus_6a"">male</a>, 1.25-1.43 mm)</span></div><span class=""nfig""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_divergens_01""><img src=""assets/img/sp_thumb/Aetideus_divergens_01.png"" border=""0"" /></a><span id=""fig_Aetideus_divergens_01"" class=""spcap"">Bradford, 1971</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Aetideus divergens</em> (Bradford, 1971)</span></div><div class=""fig_cap""><span class=""spcap"">Bradford, 1971. <em>Aetideus divergens</em> Bradford, 1971, Fig.9; From off British Columbia: 52&deg;02'N, 132&deg;53'W. <strong>Female</strong>: a/b, habitus (dorsal/lateral); c, genital double-somite and posterior prosome points (lateral right side); d, e, rostrum (from two specimens). Nota: Seminal receptacle with a moderately long thick tube, about 4 times as long as wide, connecting the dorsal and ventral sacs. Mouth parts and swimming legs identical with those of <em>A. armatus</em>. <strong>Male</strong>: f/g, habitus (ventral/lateral right); h, leg 5. Nota: Rostrum absent. All appendages as in <em>A. australis</em>.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 14 2021].</span></div><br><br><div class=""blkfigure""><span class=""nfig""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideus_divergens_01""><img src=""assets/img/sp_thumb/Aetideus_divergens_01.png"" border=""0"" /></a><span id=""fig_Aetideus_divergens_01"" class=""spcap"">Original</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Aetideus divergens</em> (Bradford, 1971)</span></div><div class=""fig_cap""><span class=""spcap"">Original. <em>Aetideus divergens</em>. <strong>Female</strong>, 1.86 mm., South China Sea, habitus (dorsal/lateral); rostrum; leg 1.</span></div></div><br><br>",Aetideus_divergens_01 Aetideus_divergens_01,,3,145,6
